date,region,channel,product,orders,revenue,cost,profit
2026-01-01,华东,线上,A,3,8000.0,5200.0,2800.0
2026-01-02,华东,线上,A,4,8670.0,5600.0,3070.0
2026-01-03,华东,线上,A,5,9340.0,6000.0,3340.0
2026-01-04,华东,线上,A,6,9260.0,6400.0,2860.0
2026-01-05,华东,线上,A,7,9930.0,6240.0,3690.0
2026-01-06,华东,线上,B,8,10600.0,6640.0,3960.0
2026-01-07,华东,线上,B,9,10520.0,7040.0,3480.0
2026-01-08,华东,线上,B,10,11190.0,7440.0,3750.0
2026-01-09,华东,线上,B,11,11860.0,7280.0,4580.0
2026-01-10,华东,线上,B,12,11780.0,7680.0,4100.0
2026-01-11,华东,线下,C,13,12600.0,5570.0,7030.0
2026-01-12,华东,线下,C,14,13270.0,5970.0,7300.0
2026-01-13,华东,线下,C,15,8150.0,5810.0,2340.0
2026-01-14,华东,线下,C,16,8820.0,6210.0,2610.0
2026-01-15,华东,线下,C,17,9490.0,6610.0,2880.0
2026-01-16,华东,线下,D,18,9410.0,7010.0,2400.0
2026-01-17,华东,线下,D,19,10080.0,6850.0,3230.0
2026-01-18,华东,线下,D,3,10750.0,7250.0,3500.0
2026-01-19,华东,线下,D,4,10670.0,7650.0,3020.0
2026-01-20,华东,线下,D,5,11340.0,8050.0,3290.0
2026-01-21,华南,线上,A,6,12160.0,5380.0,6780.0
2026-01-22,华南,线上,A,7,12080.0,5780.0,6300.0
2026-01-23,华南,线上,A,8,12750.0,6180.0,6570.0
2026-01-24,华南,线上,A,9,13420.0,6580.0,6840.0
2026-01-25,华南,线上,A,10,8300.0,6420.0,1880.0
2026-01-26,华南,线上,B,11,8970.0,6820.0,2150.0
2026-01-27,华南,线上,B,12,9640.0,7220.0,2420.0
2026-01-28,华南,线上,B,13,9560.0,7620.0,1940.0
2026-01-29,华南,线上,B,14,10230.0,7460.0,2770.0
2026-01-30,华南,线上,B,15,10900.0,7860.0,3040.0
2026-01-31,华南,线下,C,16,10970.0,5750.0,5220.0
2026-02-01,华南,线下,C,17,11640.0,6150.0,5490.0
2026-02-02,华南,线下,C,18,12310.0,5990.0,6320.0
2026-02-03,华南,线下,C,19,12230.0,6390.0,5840.0
2026-02-04,华南,线下,C,3,12900.0,6790.0,6110.0
2026-02-05,华南,线下,D,4,13570.0,7190.0,6380.0
2026-02-06,华南,线下,D,5,8450.0,7030.0,1420.0
2026-02-07,华南,线下,D,6,9120.0,7430.0,1690.0
2026-02-08,华南,线下,D,7,9790.0,7830.0,1960.0
2026-02-09,华南,线下,D,8,9710.0,8230.0,1480.0
2026-02-10,华北,线上,A,9,10530.0,5560.0,4970.0
2026-02-11,华北,线上,A,10,11200.0,5960.0,5240.0
2026-02-12,华北,线上,A,11,11120.0,6360.0,4760.0
2026-02-13,华北,线上,A,12,11790.0,6760.0,5030.0
2026-02-14,华北,线上,A,13,12460.0,6600.0,5860.0
2026-02-15,华北,线上,B,14,12380.0,7000.0,5380.0
2026-02-16,华北,线上,B,15,13050.0,7400.0,5650.0
2026-02-17,华北,线上,B,16,13720.0,7800.0,5920.0
2026-02-18,华北,线上,B,17,8600.0,7640.0,960.0
2026-02-19,华北,线上,B,18,9270.0,8040.0,1230.0
2026-02-20,华北,线下,C,19,10090.0,5930.0,4160.0
2026-02-21,华北,线下,C,3,10010.0,6330.0,3680.0
2026-02-22,华北,线下,C,4,10680.0,6170.0,4510.0
2026-02-23,华北,线下,C,5,11350.0,6570.0,4780.0
2026-02-24,华北,线下,C,6,11270.0,6970.0,4300.0
2026-02-25,华北,线下,D,7,11940.0,7370.0,4570.0
2026-02-26,华北,线下,D,8,12610.0,7210.0,5400.0
2026-02-27,华北,线下,D,9,12530.0,7610.0,4920.0
2026-02-28,华北,线下,D,10,13200.0,8010.0,5190.0
2026-03-01,华北,线下,D,11,13870.0,8410.0,5460.0
